Runner,Gender,Place,Seconds,mph
1402,M,1562,16591,5.689078416
1403,F,861,14580,6.473765432
1404,F,1853,17439,5.41243764
1405,F,1492,16417,5.749375647
1406,F,1377,16087,5.867315223
1407,F,1504,16460,5.734356015
1408,F,1181,15490,6.093447385
1409,F,2204,19018,4.96306131
1410,F,1955,17893,5.275107584
1411,F,2241,19206,4.91447985
1412,F,932,14825,6.366779089
1413,F,2456,20620,4.577473327
1414,F,2118,18548,5.088823593
1415,F,965,14919,6.326663986
1416,F,2382,20165,4.68075874
1417,M,2287,19512,4.837407749
1418,F,1119,15332,6.156241847
1419,F,1747,17114,5.515221456
1420,F,1770,17172,5.496593291
1421,M,1971,17943,5.260407959
1422,M,36,10807,8.733922458
1423,M,81,11546,8.174909059
1424,F,2310,19666,4.799527103
1425,M,1304,15859,5.951667823
1426,M,1282,15811,5.96973626
1427,F,1544,16559,5.700072468
1428,F,405,13267,7.114456923
1429,F,782,14339,6.582572006
1430,F,353,13048,7.233867259
1431,F,1323,15913,5.931471124
1432,F,915,14777,6.387460242
1433,F,1223,15608,6.047379549
1434,F,2430,20475,4.60989011
1435,F,1269,15766,5.986775339
1436,M,818,14449,6.532458994
1437,F,1878,17540,5.38127138
1438,F,2410,20358,4.636383731
1439,F,1630,16801,5.617969169
1440,M,9,10049,9.392725644
1441,M,421,13318,7.087212795
1442,M,136,12017,7.854497795
1443,M,683,14085,6.701277955
1444,M,646,14000,6.741964286
1445,M,1775,17185,5.492435263
1446,M,1210,15575,6.060192616
1447,M,938,14832,6.363774272
1448,M,1354,16003,5.898112854
1449,F,325,12946,7.290862042
1450,F,738,14214,6.64046011
1451,F,668,14058,6.714148528
1452,M,1994,18016,5.239093028
1453,M,1477,16350,5.77293578
1454,M,2145,18693,5.049350024
1455,M,687,14093,6.697473923
1456,F,1145,15395,6.131049042
1457,F,2361,19987,4.722444589
1458,F,2149,18704,5.046380453
1459,F,2042,18238,5.175320759
1460,F,1847,17420,5.418340987
1461,F,1741,17103,5.518768637
1462,F,1658,16882,5.591014098
1463,F,164,12222,7.72275405
1464,F,2395,20252,4.6606508
1465,F,1637,16827,5.609288643
1466,F,242,12571,7.508352557
1467,F,1421,16190,5.829987647
1468,F,1135,15365,6.14301985
1469,F,1761,17143,5.505891618
1470,F,2022,18159,5.197835784
1471,F,2217,19079,4.947193249
1472,F,1845,17412,5.420830462
1473,F,1237,15648,6.031921012
1474,F,307,12863,7.337907176
1475,F,887,14671,6.433610524
1476,F,166,12225,7.720858896
1477,F,1561,16589,5.689764302
1478,F,1089,15229,6.197879047
1479,F,2070,18352,5.143172406
1480,F,198,12397,7.613737194
1481,F,1976,17958,5.256014033
1482,F,1791,17246,5.473008234
1483,F,378,13141,7.182672552
1484,M,1654,16868,5.595654494
1485,M,850,14542,6.490682162
1486,M,1310,15879,5.944171547
1487,F,1306,15867,5.948667045
1488,F,2448,20579,4.586593129
1489,F,2454,20615,4.578583556
1490,M,2325,19768,4.774762242
1491,M,529,13674,6.902698552
1492,F,354,13057,7.22888106
1493,F,1573,16612,5.681886588
1494,M,801,14385,6.561522419
1495,M,730,14203,6.645603042
1496,M,624,13941,6.770497095
1497,F,729,14203,6.645603042
1498,F,620,13933,6.774384555
1499,F,1416,16187,5.831068141
1500,M,339,12981,7.271204067
1501,F,1596,16674,5.660759266
1502,F,1530,16531,5.709727179
1503,F,836,14497,6.510829827
1504,F,669,14060,6.713193457
1505,F,86,11576,8.15372322
1506,F,1948,17865,5.283375315
1507,F,2120,18569,5.083068555
1508,F,1868,17503,5.392646975
1509,F,799,14381,6.563347472
1510,F,292,12803,7.372295556
1511,F,1078,15212,6.204805417
1512,F,1734,17087,5.523936326
1513,F,2394,20251,4.660880944
1514,F,701,14130,6.679936306
1515,F,2088,18414,5.125855327
1516,F,1618,16751,5.634738225
1517,F,435,13372,7.058592582
1518,F,558,13766,6.856566904
1519,F,892,14682,6.428790356
1520,M,555,13759,6.860055237
1521,F,1825,17345,5.441769963
1522,F,856,14563,6.48132253
1523,F,1546,16561,5.699384095
1524,F,2040,18224,5.179296532
1525,F,367,13106,7.201854113
1526,F,1136,15367,6.142220342
1527,F,1933,17776,5.309827858
1528,F,346,13005,7.257785467
1529,F,438,13397,7.045420617
1530,F,1912,17713,5.328713374
1531,F,943,14852,6.355204686
1532,M,731,14203,6.645603042
1533,F,1869,17505,5.392030848
1534,F,1214,15586,6.055915565
1535,M,117,11880,7.945075758
1536,F,1179,15489,6.09384079
1537,F,42,10925,8.639588101
1538,M,94,11640,8.108891753
1539,F,1008,15029,6.280357975
1540,M,1393,16109,5.859302253
1541,M,2205,19020,4.962539432
1542,M,1158,15433,6.115952828
1543,F,2150,18708,5.045301475
1544,M,2137,18650,5.060991957
1545,M,625,13941,6.770497095
1546,F,199,12406,7.608213768
1547,F,2387,20187,4.675657601
1548,F,2096,18444,5.117517892
1549,F,1202,15550,6.069935691
1550,F,2344,19872,4.749773551
1551,F,498,13588,6.946386518
1552,F,874,14625,6.453846154
1553,F,1846,17412,5.420830462
1554,F,623,13939,6.771468542
1555,F,449,13431,7.027585437
1556,F,1490,16415,5.75007615
1557,F,1221,15604,6.048929762
1558,F,2030,18192,5.188406992
1559,F,1943,17824,5.295528501
1560,F,2465,20713,4.556920774
1561,F,2109,18515,5.0978936
1562,F,691,14098,6.695098596
1563,F,2381,20148,4.68470816
1564,F,622,13936,6.772926234
1565,M,772,14317,6.592687015
1566,M,865,14598,6.465782984
1567,M,401,13253,7.121972384
1568,M,313,12884,7.325946911
1569,F,1454,16280,5.797757985
1570,F,2027,18172,5.194117323
1571,F,1679,16918,5.579116917
1572,F,2155,18767,5.029439974
1573,M,309,12871,7.333346282
1574,M,2300,19621,4.810534631
1575,M,1642,16834,5.60695616
1576,F,1890,17607,5.360794002
1577,F,219,12496,7.553417093
1578,F,536,13699,6.890101467
1579,F,492,13569,6.956113199
1580,F,2166,18832,5.012080501
1581,F,1666,16894,5.587042737
1582,F,2032,18202,5.185556532
1583,F,661,14035,6.725151407
1584,F,522,13642,6.918890192
1585,F,1151,15419,6.121505934
1586,F,345,12998,7.261694107
1587,F,1461,16311,5.78673901
1588,F,2191,18980,4.972997893
1589,F,1935,17785,5.307140849
1590,F,1075,15204,6.208070245
1591,F,446,13422,7.03229772
1592,F,2014,18130,5.206150028
1593,F,1251,15704,6.01041136
