ID,Team,Number,Name,Position,Height,Weight
673,Pittsburgh,87,"Sidney Crosby ""C"" ",C,71,200
676,Pittsburgh,25,Andrew Ebbett  ,C,69,174
677,Pittsburgh,57,Marcel Goc  ,C,73,197
680,Pittsburgh,71,"Evgeni Malkin ""A"" ",C,75,195
682,Pittsburgh,38,Zach Sill  ,C,72,202
683,Pittsburgh,13,Nick Spaling  ,C,73,201
684,Pittsburgh,16,Brandon Sutter  ,C,75,190
695,Washington,19,"Nicklas Backstrom ""A"" ",C,73,208
701,Washington,90,Marcus Johansson  ,C,73,205
702,Washington,92,Evgeny Kuznetsov  ,C,72,172
703,Washington,21,"Brooks Laich ""A"" ",C,74,210
704,Washington,46,Michael Latta  ,C,72,209
718,New York Rangers,61,Derick Brassard,C,73,200
727,New York Rangers,9,J.T. Miller (A),C,73,218
728,New York Rangers,20,Dominic Moore,C,72,192
729,New York Rangers,38,Chris Mueller,C,70,201
731,New York Rangers,45,James Sheppard,C,73,215
734,New York Rangers,21,Derek Stepan,C,71,196
14,Anaheim,23,"Francois Beauchemin ""A"" ",D,73,208
15,Anaheim,2,Eric Brewer   **,D,76,216
16,Anaheim,28,Mark Fistric  ,D,74,225
17,Anaheim,4,Cam Fowler  ,D,73,211
18,Anaheim,47,Hampus Lindholm  ,D,75,205
19,Anaheim,6,Ben Lovejoy  ,D,73,206
20,Anaheim,48,Colby Robak  ,D,75,194
21,Anaheim,3,Clayton Stoner  ,D,75,212
22,Anaheim,45,Sami Vatanen  ,D,70,180
39,Arizona,23,Oliver Ekman-Larsson  ,D,74,200
40,Arizona,33,Brandon Gormley   **,D,74,196
41,Arizona,4,Zbynek Michalek  ,D,74,210
42,Arizona,5,Connor Murphy  ,D,76,212
43,Arizona,25,Philip Samuelsson  ,D,74,194
44,Arizona,26,Michael Stone  ,D,75,210
45,Arizona,20,Chris Summers  ,D,74,209
46,Arizona,3,"Keith Yandle ""A"" ",D,73,190
66,Calgary,7,TJ Brodie  ,D,73,182
67,Calgary,33,Raphael Diaz  ,D,71,197
68,Calgary,29,Deryk Engelland  ,D,74,215
69,Calgary,5,"Mark Giordano ""C"" ",D,72,200
70,Calgary,4,Kris Russell  ,D,70,173
71,Calgary,15,Ladislav Smid  ,D,75,209
72,Calgary,6,Dennis Wideman  ,D,72,200
90,Edmonton,22,Keith Aulie  ,D,78,222
91,Edmonton,5,Mark Fayne  ,D,75,215
92,Edmonton,21,Andrew Ference  ,D,71,184
93,Edmonton,84,Oscar Klefbom  ,D,75,210
94,Edmonton,86,Nikita Nikitin  ,D,76,217
95,Edmonton,2,Jeff Petry  ,D,75,198
96,Edmonton,19,Justin Schultz  ,D,74,196
113,Los Angeles,8,Drew Doughty  ,D,73,213
114,Los Angeles,2,"Matt Greene ""A"" ",D,75,234
115,Los Angeles,27,Alec Martinez  ,D,73,209
116,Los Angeles,5,Jamie McBain  ,D,73,181
117,Los Angeles,3,Brayden McNabb  ,D,76,208
118,Los Angeles,6,Jake Muzzin  ,D,75,214
119,Los Angeles,44,Robyn Regehr   **,D,75,222
120,Los Angeles,26,Slava Voynov  ,D,72,194
138,San Jose,61,Justin Braun  ,D,74,205
139,San Jose,88,Brent Burns  ,D,77,230
140,San Jose,4,Brenden Dillon  ,D,76,225
141,San Jose,27,Scott Hannan  ,D,73,215
142,San Jose,52,Matt Irwin  ,D,74,210
143,San Jose,41,Mirco Mueller   **,D,75,205
144,San Jose,80,Matt Tennyson  ,D,74,205
145,San Jose,44,"Marc-Edouard Vlasic ""A"" ",D,73,205
161,Vancouver,3,"Kevin Bieksa ""A"" ",D,73,198
162,Vancouver,23,Alexander Edler  ,D,75,215
163,Vancouver,2,Dan Hamhuis  ,D,73,209
164,Vancouver,5,Luca Sbisa  ,D,74,198
165,Vancouver,18,Ryan Stanton  ,D,74,196
166,Vancouver,8,Christopher Tanev  ,D,74,185
167,Vancouver,6,Yannick Weber  ,D,71,200
184,Chicago,34,Tim Erixon  ,D,74,200
185,Chicago,4,Niklas Hjalmarsson  ,D,75,197
186,Chicago,2,"Duncan Keith ""A"" ",D,73,192
187,Chicago,27,Johnny Oduya  ,D,72,188
188,Chicago,32,Michal Rozsival  ,D,73,210
189,Chicago,5,David Rundblad  ,D,74,187
